SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BRED,YEARFOAL
2023,Y,23FTJULYYR,2023-07-11,1,1,192,192,,,,,2022-03-30,1,B,F,,Y,,,KY,ENTICED,ENTICED,SIMMADOWNNOW,SIMMADOWNNOW,CANDY RIDE (ARG),CANDY RIDE (ARG),,,,,,,,WARRENDALE SALES AGENT II,,,,KENNETH MCPEEKAGENT,,,,50000,USD,https://youtu.be/Lecc5w1VlYo,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,193,193,,,,,2022-02-12,1,B,F,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,SINGING HILLS,SINGING HILLS,SUPER SAVER,SUPER SAVER,,,,,,,,POPE MCLEAN (CRESTWOOD FARM) AGENT II,,,,BELL HILL PARTNERS,,,,270000,USD,https://vimeo.com/840268662?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,194,194,,,,,2022-03-01,1,GRR,F,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,SKY O' BLUE,SKY O' BLUE,HENNY HUGHES,HENNY HUGHES,,,,,,,,WYNNSTAY SALES AGENT VIII,,,,NOT SOLD,,,,145000,USD,https://vimeo.com/842352263?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,195,195,,,,,2022-04-14,1,B,F,,Y,,,KY,UNCLE MO,UNCLE MO,SOCIAL CALL,SOCIAL CALL,SMART STRIKE,SMART STRIKE,,,,,,,,LANE'S END AGENT,,,,HARTLEY/DE RENZO THOROUGHBREDS,,,,290000,USD,https://vimeo.com/842912590?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,196,196,,,,,2022-03-21,1,CH,F,,Y,,,KY,MITOLE,MITOLE,SOCIAL VINDICATION,SOCIAL VINDICATION,VINDICATION,VINDICATION,,,,,,,,BROOKDALE SALES AGENT FOR MINEOLA FARM,,,,L & N RACING LLC,,,,44000,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,197,197,,,,,2022-02-23,1,DKB,C,,Y,,,FL,GIRVIN,GIRVIN,SOLAR SOLSTICE,SOLAR SOLSTICE,BLAME,BLAME,,,,,,,,STRAIGHT LINE EQUINE SALES AGENT,,,,NOT SOLD,,,,65000,USD,https://youtu.be/uZ0qyJb3WLI,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,198,198,,,,,2022-01-21,1,B,C,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,SPARKLING CHAMPAGN,SPARKLING CHAMPAGN,MALIBU MOON,MALIBU MOON,,,,,,,,BRANDYWINE FARM (JIM & PAM ROBINSON),,,,RIDETHECOATTAILS,,,,85000,USD,https://vimeo.com/838105475?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,199,199,,,,,2022-01-09,1,B,F,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,STILL A FUNNY GIRL,STILL A FUNNY GIRL,DISTORTED HUMOR,DISTORTED HUMOR,,,,,,,,EATON SALES AGENT,,,,OUT,,,,0,USD,https://vimeo.com/842655065?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,200,200,,,,,2022-02-28,1,B,C,,Y,,,KY,MAXIMUS MISCHIEF,MAXIMUS MISCHIEF,STONECOLDFOX,STONECOLDFOX,BUSTIN STONES,BUSTIN STONES,,,,,,,,FOUR STAR SALES AGENT,,,,NOT SOLD,,,,95000,USD,https://vimeo.com/843055000?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,201,201,,,,,2022-04-19,1,B,C,,Y,,,KY,UNION RAGS,UNION RAGS,STONEWALKER,STONEWALKER,STRONG MANDATE,STRONG MANDATE,,,,,,,,PARAMOUNT SALES AGENT XI,,,,NOT SOLD,,,,45000,USD,https://vimeo.com/843536275?share=copy,,,TB,2022
