SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTOCTYR,2023-10-26,1,4,1343,1343,,,2022-03-26,1,DKB,F,,Y,,,KY,TWIRLING CANDY,TWIRLING CANDY,STELLIUM,STELLIUM,EMPIRE MAKER,EMPIRE MAKER,,,,,,,BROOKDALE SALES AGENT,,,,FULL OF RUN RACING II LLC,,,,155000,,https://vimeo.com/876132351?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1344,1344,,,2022-01-09,1,B,F,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,STILL A FUNNY GIRL,STILL A FUNNY GIRL,DISTORTED HUMOR,DISTORTED HUMOR,,,,,,,EATON SALES AGENT,,,,THOROSTOCK LLC,,,,125000,,https://vimeo.com/876581387?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1345,1345,,,2022-04-27,1,DKB,C,,Y,,,NY,SOLOMINI,SOLOMINI,ST. MALO'S GATE,ST. MALO'S GATE,DYNAFORMER,DYNAFORMER,,,,,,,HUNTER VALLEY FARM AGENT FOR MCMAHON OF SARATOGA,,,,THOROUGHBRED ACADIANA,,,,52000,,https://vimeo.com/876320963?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1346,1346,,,2022-02-28,1,B,C,,Y,,,KY,MAXIMUS MISCHIEF,MAXIMUS MISCHIEF,STONECOLDFOX,STONECOLDFOX,BUSTIN STONES,BUSTIN STONES,,,,,,,FOUR STAR SALES AGENT,,,,GS INVERSIONES HIPICAS LLC,,,,85000,,https://vimeo.com/876655056?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1347,1347,,,2022-04-19,1,B,C,,Y,,,KY,UNION RAGS,UNION RAGS,STONEWALKER,STONEWALKER,STRONG MANDATE,STRONG MANDATE,,,,,,,PARAMOUNT SALES AGENT XXV,,,,SHERBOURNE LODGE,,,,30000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1348,1348,,,2022-02-01,1,CH,F,,Y,,,NY,MALIBU MOON,MALIBU MOON,STOPSPENDINGMARIA,STOPSPENDINGMARIA,MONTBROOK,MONTBROOK,,,,,,,GAINESWAY AGENT XXV,,,,MERIDIAN BLOODSTOCK,,,,225000,,https://vimeo.com/875299236/193135cce7?ts=0&share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1349,1349,,,2022-04-18,1,DKB,F,,Y,,,KY,HEART TO HEART,HEART TO HEART,STORAGE QUEEN,STORAGE QUEEN,PURGE,PURGE,,,,,,,MAINE CHANCE FARM (UNIVERSITY OF KENTUCKY),,,,ALISTAR FYFE RACING,,,,42000,,https://youtu.be/ZzDDDUc9140,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1350,1350,,,2022-04-21,1,B,F,,Y,,,KY,MAXIMUM SECURITY,MAXIMUM SECURITY,STORMALINA,STORMALINA,STORMY ATLANTIC,STORMY ATLANTIC,,,,,,,FOUR STAR SALES AGENT,,,,SHERBOURNE LODGE,,,,30000,,https://vimeo.com/875425195,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1351,1351,,,2022-05-23,1,DKB,F,,Y,,,NY,MUNNINGS,MUNNINGS,STORM CROSSING,STORM CROSSING,TIZNOW,TIZNOW,,,,,,,DARBY DAN FARM AGENT III,,,,HOBY KIGHT AGENT,,,,50000,,https://vimeo.com/877338109?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1352,1352,,,2022-02-16,1,CH,C,,Y,,,KY,JUSTIFY,JUSTIFY,STORM DIXIE,STORM DIXIE,CATIENUS,CATIENUS,,,,,,,PARAMOUNT SALES AGENT XXXIII,,,,TOM MCCROCKLIN AGENT,,,,230000,,https://vimeo.com/875919289?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1353,1353,,,2022-04-30,1,CH,F,,Y,,,NY,INSTAGRAND,INSTAGRAND,STORM NOW,STORM NOW,TIZNOW,TIZNOW,,,,,,,SEQUEL NEW YORK AGENT FOR CHESTER & MARY BROMAN,,,,RICEHORSE FOR FINAL FURLONG RACING STABLE,,,,100000,,https://vimeo.com/876235369,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1354,1354,,,2022-02-13,1,DKB,C,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,STORMOLOGIST,STORMOLOGIST,GEMOLOGIST,GEMOLOGIST,,,,,,,GAINESWAY AGENT XI,,,,NOT SOLD,,,,39000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1355,1355,,,2022-01-28,1,B,F,,Y,,,KY,WEST COAST,WEST COAST,STORM SPELL,STORM SPELL,UNBRIDLED'S SONG,UNBRIDLED'S SONG,,,,,,,MACHMER HALL SALES AGENT FOR MACHMER HALL,,,,10 FLAT THOROUGHBREDS LLC,,,,10000,,https://vimeo.com/876400907?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1356,1356,,,2022-03-10,1,B,C,,Y,,,KY,VINO ROSSO,VINO ROSSO,STORMY ARABELLA,STORMY ARABELLA,GET STORMY,GET STORMY,,,,,,,WARRENDALE SALES AGENT IV,,,,NEW HOPE AB LLC,,,,11000,,https://vimeo.com/877337813?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1357,1357,,,2022-05-04,1,CH,F,,Y,,,KY,GOOD MAGIC,GOOD MAGIC,STORMY GIGI,STORMY GIGI,STORM BOOT,STORM BOOT,,,,,,,CANDY MEADOWS SALES AGENT XXIV,,,,NOT SOLD,,,,39000,,https://vimeo.com/875793490,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1358,1358,,,2022-03-24,1,B,C,,Y,,,KY,THOUSAND WORDS,THOUSAND WORDS,STORMY KRISTINE,STORMY KRISTINE,STORM CREEK,STORM CREEK,,,,,,,FORBUSH FARM,,,,NOT SOLD,,,,29000,,https://vimeo.com/871883531?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1359,1359,,,2022-03-22,1,DKB,F,,Y,,,ON,PERFECT TIMBER,PERFECT TIMBER,STORMY VENUS,STORMY VENUS,STORMY ATLANTIC,STORMY ATLANTIC,,,,,,,PARAMOUNT SALES AGENT XXIII,,,,ARCADIO ESCAMILLA,,,,2000,,https://vimeo.com/870634113?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1360,1360,,,2022-04-10,1,DKB,F,,Y,,,KY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,STOWESHOE,STOWESHOE,FLATTER,FLATTER,,,,,,,EATON SALES AGENT,,,,SOLIS/LITT,,,,270000,,https://vimeo.com/874807165?share=copy,,,T,2022
